month,quarter,season_num,boe_rate,cpi,is_new_build,is_freehold,county_median,town_median,type_F,type_S,type_T,price
3,1,1,4.5,2.6,0,1,180000.0,152500.0,False,False,False,160000
2,1,0,4.5,2.8,0,0,505000.0,579475.0,True,False,False,262500
3,1,1,4.5,2.6,0,1,225000.0,210000.0,False,False,False,311000
4,2,1,4.25,3.5,0,1,200000.0,240000.0,False,True,False,288800
2,1,0,4.5,2.8,0,1,355000.0,370000.0,False,True,False,380000
10,4,3,4.0,3.0,0,1,230000.0,230000.0,False,False,True,179950
2,1,0,4.5,2.8,0,1,285000.0,362000.0,False,False,True,278000
6,2,2,4.25,3.3,1,0,527500.0,574000.0,True,False,False,961720
7,3,2,4.25,3.2,0,0,527500.0,435000.0,True,False,False,92000
6,2,2,4.25,3.3,0,1,250000.0,235000.0,False,False,True,220000
8,3,2,4.25,3.1,0,1,237500.0,237000.0,False,False,False,355000
10,4,3,4.0,3.0,0,0,240500.0,250000.0,True,False,False,230000
11,4,3,4.0,2.9,0,1,240500.0,301000.0,False,False,True,190000
5,2,1,4.25,3.4,0,1,236000.0,270000.0,False,False,False,475000
6,2,2,4.25,3.3,0,1,310000.0,263500.0,False,False,True,195000
12,4,0,4.0,2.8,0,1,236000.0,230000.0,False,False,True,216000
9,3,3,4.0,3.0,0,0,527500.0,574000.0,True,False,False,815000
3,1,1,4.5,2.6,0,0,527500.0,695000.0,True,False,False,510000
3,1,1,4.5,2.6,0,1,355000.0,310000.0,False,True,False,595000
11,4,3,4.0,2.9,0,1,273000.0,267500.0,False,False,False,255000
10,4,3,4.0,3.0,0,1,204995.0,255950.0,False,False,False,190000
3,1,1,4.5,2.6,0,0,200000.0,218000.0,False,False,True,190000
4,2,1,4.25,3.5,0,1,355000.0,441750.0,False,True,False,258500
10,4,3,4.0,3.0,0,0,195000.0,220000.0,False,True,False,215000
12,4,0,4.0,2.8,0,1,527500.0,574000.0,False,False,True,670000
9,3,3,4.0,3.0,0,1,235000.0,245000.0,False,False,True,160000
5,2,1,4.25,3.4,0,1,235000.0,295000.0,False,False,True,195000
12,4,0,4.0,2.8,0,0,545000.0,630000.0,True,False,False,870000
6,2,2,4.25,3.3,0,1,270000.0,270000.0,False,False,True,275000
